Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
REGIONS FINANCIAL CORP,RF US,548,23.84,2937,B01R311
SWEDBANK AB,SWEDA SS,489,30.40,2619,4846523
CAIXABANK SA,CABK SM,1755,5.89,9404,B283W97
STANDARD CHARTERED PLC,STAN LN,1322,11.78,7084,0408284
LUZERNER KANTONALBANK AG,LUKN SW,1,677.60,7,7052275
MIZUHO FINANCIAL GROUP INC,8411 JP,12414,2.30,66500,6591014
WESTERN ALLIANCE BANCORP,WAL US,49,74.60,262,B0CCGJ4
KBC GROEP NV,KBC BB,135,100.21,723,4497749
CITIZENS FINANCIAL GROUP INC,CFG US,237,52.04,1268,BQRX1X3
WELLS FARGO & CO,WFC US,2147,75.91,11500,2649100
TEXAS CAPITAL BANCSHARES INC,TCBI US,25,119.99,133,2977209
BANCO SANTANDER SA,SAN SM,7799,7.21,41779,5705946
MITSUBISHI UFJ FINANCIAL GROUP INC,8306 JP,6272,8.09,33600,6335171
SURUGA BANK LTD,8358 JP,93,11.52,500,6864329
JYSKE BANK A/S,JYSK DC,35,74.04,189,B0386J1
CREDIT AGRICOLE SA,ACA FP,557,17.83,2983,7262610
SIGNATURE BANK,SBNY US,27,149.24,145,B00JQL9
BPER BANCA SPA,BPE IM,201,7.17,1076,4116099
BANK HAPOALIM BM,POLI IT,493,9.29,2640,6075808
SEVEN BANK LTD,8410 JP,336,3.94,1800,B2NT8S1
RESONA HOLDINGS INC,8308 JP,1064,7.65,5700,6421553
CANADIAN IMPERIAL BANK OF COMMERCE,CM,217,117.32,1164,2170525
BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BBVA SM,3255,9.27,17438,5501906
ROYAL BANK OF SCOTLAND GROUP PLC,RBS LN,2209,4.26,11836,B7T7721
THE IYO BANK,8385 JP,131,8.81,700,6468282
DBS GROUP HOLDINGS LTD,DBS SP,877,25.44,4700,6175203
SHINSEI BANK LTD,8303 JP,56,21.14,300,6730936
BANK OF EAST ASIA LTD,23 HK,606,5.24,3247,6075648
BANK OF IRELAND GROUP,BIRG ID,461,10.84,2471,BD1RP61
METRO BANK PLC,MTRO LN,40,58.29,216,BZ6STL6
ROYAL BANK OF CANADA,RY,707,100.88,3786,2754383
SYNOVUS FINANCIAL CORP,SNV US,59,65.22,318,BMH4NJ8
CONCORDIA FINANCIAL GRP,7186 JT,560,7.12,3000,BD97JW7
BANQUE CANTONALE VAUDOISE,BCVN CH,1,977.73,8,7520794
SVENSKA HANDELSBANKEN AB,SHBB SS,17,16.27,91,BXDZ9V6
FIRST HORIZON NATIONAL CORP,FHN US,162,22.79,867,2341484
CYBG PLC,CYBG LN,436,5.79,2337,BD6GN03
PNC FINANCIAL SERVICES GROUP INC,PNC US,229,186.03,1228,2692665
BOC HONG KONG HOLDINGS LTD,2388 HK,1755,6.31,9401,6536112
NATIONAL AUSTRALIA BANK LTD,NAB AT,1332,27.46,7134,6624608
UTD MIZRAHI BK (ILS0.0,MZTF IT,62,25.40,330,6916703
BANK OF MONTREAL,BMO,316,103.86,1693,2076009
HSBC HOLDINGS PLC,HSBA LN,9828,12.47,52649,0540528
ABN AMRO GROUP NV,ABN NA,202,35.43,1084,BYQP136
THE HIROSHIMA BANK,8379 JP,93,8.81,500,6075723
FIFTH THIRD BANCORP,FITB US,335,38.15,1793,2336747
LLOYDS BANKING GROUP PLC,LLOY LN,35115,1.08,188112,0870612
RAIFFEISEN BANK INTERNATIONAL AG,RBI AV,64,42.96,341,B0704T9
COMERICA INC,CMA US,84,125.27,448,2212870
WEBSTER FINANCIAL CORP,WBS US,46,87.77,246,2945143
COMMERCE BANCSHARES INC,CBSH US,47,89.05,252,2213204
JULIUS BAER GRUPPE AG,BAER VX,106,71.70,567,B4R2R50
SOCIETE GENERALE SA,GLE FP,359,56.49,1922,5966516
CHUGOKU BANK LTD,8382 JP,75,13.53,400,6195803
COMMONWEALTH BANK OF AUSTRALIA,CBA AT,861,72.70,4614,6215035
F.N.B. CORP,FNB US,161,16.52,865,2041308
CREDITO EMILIANO SPA,CE IM,36,9.49,193,7135251
POPULAR INC,BPOP US,50,64.71,267,B86QM90
EAST WEST BANCORP INC,EWBC US,72,84.90,387,2487407
STERLING BANCORP NEW,STL US,111,29.59,597,BFNXVB8
SHIZUOKA BANK LTD,8355 JP,187,12.12,1000,6805328
OVERSEA-CHINESE BANKING CORP LTD,OCBC SG,1605,11.26,8600,B0F9V20
DANSKE BANK A/S,DANSKE DC,318,38.04,1704,4588825
PROSPERITY BANCSHARES INC,PB US,34,89.79,181,2310257
INTESA SANPAOLO SPA,ISP IM,6626,3.78,35493,4076836
AOZORA BANK LTD,8304 JP,37,50.26,200,B1G1854
BANK OF KYOTO LTD,8369 JP,37,62.36,200,6075756
CHIBA BANK LTD,8331 JP,373,9.40,2000,6190563
DNB ASA,DNB NO,526,26.18,2819,4263304
BARCLAYS PLC,BARC LN,8340,3.25,44678,3134865
NATIONAL BANK OF CANADA,NA,167,63.59,895,2077303
SVB FINANCIAL GROUP,SIVB US,26,405.09,138,2808053
SUMITOMO MITSUI FINANCIAL GROUP INC,8316 JP,653,52.50,3500,6563024
BNP PARIBAS SA,BNP FP,529,82.05,2832,7309681
WESTPAC BANKING CORP,WBC AT,1675,28.61,8972,6076146
COMMERZBANK AG,CBK GR,523,13.57,2801,B90LKT4
NORDEA BANK AB,NDA SS,1553,13.89,8320,5380031
U.S. BANCORP,USB US,751,67.29,4025,2736035
UNITED OVERSEAS BANK LTD,UOB SP,635,25.82,3400,6916781
HACHIJUNI BANK LTD,8359 JP,224,5.58,1200,6400626
BANK LEUMI,LUMI IT,719,8.13,3850,6076425
WINTRUST FINANCIAL CORP,WTFC US,28,115.14,149,2425258
